source_id,woo_id,name,current_ram,current_ssd,ram_mode,ram_type,ram_slots,ram_max,storage_mode,storage_type,storage_slots,confidence,note,source
2,28,"Dell Latitude 7400 2-in-1 | Laptop Doanh Nhân Cao Cấp – Xoay Gập 360° với Core i7/i5, 16GB RAM, 512GB SSD",16GB,512GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
3,38,"Dell Latitude 7420 2-in-1 | Laptop Doanh Nhân Cao Cấp Nhôm Nguyên Khối – Core i7, 16GB RAM, 512GB SSD",16GB,512GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
4,48,"Dell XPS 13 9310 | Laptop Doanh Nhân Cao Cấp, Cảm Ứng Xoay Gập, i7-1165G7 / i7-1185G7",8GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
5,58,"ThinkPad X1 Carbon Gen 11 | Laptop Văn Phòng Cao Cấp, i7-1365U, 32GB RAM, 1TB SSD",32GB,1TB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
8,72,"Dell XPS 15 9500 – i7-10750H, 32GB, GTX 1650Ti, 4K Touch Mỏng Nhẹ",32GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),2,high,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
9,82,"Dell Precision 5560 Refurbished i7-11850H, RAM 64GB, Quadro T1200 4GB, FullHD+ Giá Chỉ 20.500.000 VNĐ",64GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),2,high,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
13,109,"Dell Latitude 7410 2in1 – i7-10610U, RAM 16GB, Xoay Gập 360, Giá 9.8 Triệu",16GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
14,119,"Dell Latitude 7320 2in1 – i5-1140G7, RAM 16GB, Touch Tháo Rời, Giá 13.5 Triệu",16GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,service_only,M.2 NVMe 2230,1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
1,132,"THINKPAD T14s GEN 2 – Laptop Doanh Nhân Cao Cấp | 32GB RAM, Core i7, Màn Hình FullHD Touch",32GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
6,134,"Dell XPS 13 Plus 9320 – i7-1260P, 32GB RAM, 13.4” FHD+ Touch, Chip P Cao Cấp",32GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
7,136,"Surface Laptop Go 2 – i5-1035G1, 16GB RAM, 256GB NVMe, 12.4” 2K Touch",16GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,service_only,M.2 NVMe 2230,1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
10,138,"ThinkPad T15 Gen 2 – i5-1135G7, RAM 16GB, SSD 256GB, Giá Chỉ 8.8 Triệu",16GB,256GB,partial,DDR4 onboard + SO-DIMM,1,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,high,RAM hàn một phần và một khe SO-DIMM; kiểm tra RAM onboard trước khi báo dung lượng tối đa.,model-family-review
11,140,"ThinkPad X1 Yoga Gen 6 – i7 1185G7, 16GB RAM, Touch 2in1, Giá Chỉ 14.5 Triệu",16GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
12,142,"Dell XPS 13 9300 i5-1035G1, RAM 16GB, FullHD+, Giá Chỉ 11.5 Triệu",16GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
15,144,"Dell Precision 3551 – i7-10850H, RAM 16GB, SSD 512GB, Giá 9.8 Triệu",16GB,512GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
16,146,"Dell Precision 3541 – i7-9850H, RAM 16GB, SSD 512GB, Giá 8.8 Triệu",16GB,512GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
